,0,1,2,3,4,5,6
334,Manual MBES Boulder,298669.455,5992581.717,15.11,1.334,1.183,0.296
335,Manual MBES Boulder,300167.493,5992815.011,18.36,1.146,1.16,0.221
336,Manual MBES Boulder,298677.991,5992598.238,14.97,1.404,1.174,0.277
337,Manual MBES Boulder,300292.53,5990885.0,18.1,1.206,1.021,0.137
338,Manual MBES Boulder,300293.333,5990886.968,18.2,1.456,0.857,0.168
339,Manual MBES Boulder,300140.7,5992020.498,18.16,1.358,1.106,0.336
340,Manual MBES Boulder,300140.908,5992019.096,18.28,1.318,1.05,0.324
341,Manual MBES Boulder,299851.427,5994082.398,18.52,1.855,1.359,0.52
342,Manual MBES Boulder,300494.381,5992869.599,19.31,2.198,1.467,0.237
343,Manual MBES Boulder,300244.828,5991191.233,18.07,0.969,1.079,0.246
344,Manual MBES Boulder,300242.82,5991191.09,18.29,1.474,0.538,0.141
345,Manual MBES Boulder,298990.841,5992619.904,16.05,1.382,1.388,0.408
346,Manual MBES Boulder,302289.287,5993091.698,22.26,1.453,1.447,0.221
347,Manual MBES Boulder,302725.785,5993147.2,23.34,1.26,0.66,0.234
